ID,year,week,case_c,pop_total,case_per_capita(‰),NO2,NOx,NO,O3,PM10,PM25,SO2
101,2016,1,3,37520,0.08,28.0,52.0,25.0,14.0,44.0,23.0,3.0
101,2016,2,46,37520,1.226,24.0,37.0,13.0,22.0,37.0,20.0,3.0
101,2016,3,53,37520,1.413,26.0,41.0,15.0,19.0,41.0,22.0,2.0
101,2016,4,53,37520,1.413,23.0,47.0,24.0,22.0,35.0,17.0,3.0
101,2016,5,60,37520,1.599,24.0,40.0,17.0,21.0,21.0,9.0,2.0
101,2016,6,83,37520,2.212,24.0,36.0,12.0,31.0,56.0,31.0,3.0
101,2016,7,22,37520,0.586,23.0,39.0,15.0,20.0,32.0,17.0,2.0
101,2016,8,67,37520,1.786,24.0,36.0,12.0,28.0,58.0,21.0,2.0
101,2016,9,57,37520,1.519,25.0,38.0,12.0,29.0,41.0,16.0,2.0
101,2016,10,71,37520,1.892,28.0,47.0,19.0,19.0,40.0,21.0,3.0
101,2016,11,62,37520,1.652,30.0,55.0,25.0,22.0,37.0,18.0,2.0
101,2016,12,61,37520,1.626,29.0,61.0,32.0,27.0,49.0,25.0,2.0
101,2016,13,41,37520,1.093,34.0,49.0,15.0,30.0,61.0,32.0,3.0
101,2016,14,69,37520,1.839,30.0,43.0,14.0,27.0,65.0,38.0,4.0
101,2016,15,28,37520,0.746,27.0,40.0,12.0,22.0,40.0,21.0,4.0
101,2016,16,47,37520,1.253,29.0,46.0,18.0,29.0,45.0,22.0,3.0
101,2016,17,45,37520,1.199,24.0,36.0,11.0,25.0,48.0,25.0,4.0
101,2016,18,55,37520,1.466,27.0,37.0,10.0,38.0,68.0,35.0,4.0
101,2016,19,46,37520,1.226,23.0,35.0,11.0,27.0,40.0,19.0,4.0
101,2016,20,68,37520,1.812,19.0,27.0,8.0,32.0,32.0,13.0,2.0
101,2016,21,59,37520,1.572,22.0,33.0,10.0,22.0,37.0,21.0,5.0
101,2016,22,54,37520,1.439,21.0,32.0,12.0,20.0,34.0,15.0,3.0
101,2016,23,41,37520,1.093,21.0,33.0,12.0,22.0,32.0,14.0,3.0
101,2016,24,46,37520,1.226,20.0,39.0,20.0,13.0,26.0,9.0,3.0
101,2016,25,43,37520,1.146,22.0,33.0,12.0,23.0,30.0,14.0,4.0
101,2016,26,53,37520,1.413,22.0,33.0,11.0,25.0,32.0,15.0,3.0
101,2016,27,35,37520,0.933,16.0,26.0,11.0,16.0,26.0,10.0,2.0
101,2016,28,46,37520,1.226,18.0,28.0,10.0,20.0,27.0,11.0,2.0
101,2016,29,50,37520,1.333,21.0,34.0,13.0,21.0,35.0,15.0,2.0
101,2016,30,60,37520,1.599,20.0,29.0,8.0,33.0,40.0,22.0,4.0
101,2016,31,47,37520,1.253,16.0,25.0,8.0,24.0,30.0,14.0,3.0
101,2016,32,48,37520,1.279,16.0,26.0,10.0,19.0,25.0,12.0,3.0
101,2016,33,32,37520,0.853,16.0,25.0,9.0,21.0,20.0,8.0,2.0
101,2016,34,40,37520,1.066,17.0,26.0,9.0,26.0,33.0,15.0,3.0
101,2016,35,39,37520,1.039,22.0,29.0,8.0,42.0,43.0,23.0,3.0
101,2016,36,37,37520,0.986,20.0,31.0,11.0,21.0,28.0,14.0,3.0
101,2016,37,37,37520,0.986,16.0,28.0,12.0,17.0,23.0,9.0,2.0
101,2016,38,39,37520,1.039,16.0,26.0,10.0,24.0,32.0,11.0,2.0
