region,year,week,case_c,pop_total,case_per_capita(‰),PM25_lag0,PM25_lag1,PM25_lag2,PM25_lag3,PM25_lag4,PM25_lag5,PM25_lag6,PM25_lag7,PM25_lag8,PM25_lag9,PM25_lag10
北北基桃竹,2016,1,867,739416,1.17,24.44,22.9,21.46,22.14,20.34,19.14,17.84,18.2,19.01,18.93,19.32
北北基桃竹,2016,2,4419,740046,5.97,20.39,22.42,22.07,21.19,21.79,20.35,19.32,18.16,18.44,19.15,19.06
北北基桃竹,2016,3,4257,741444,5.74,22.23,21.31,22.35,22.11,21.4,21.86,20.62,19.68,18.61,18.82,19.43
北北基桃竹,2016,4,4211,741051,5.68,16.37,19.3,19.66,20.86,20.96,20.56,21.08,20.09,19.31,18.39,18.6
北北基桃竹,2016,5,4651,740781,6.28,9.15,12.76,15.92,17.04,18.52,18.99,18.93,19.58,18.87,18.3,17.55
北北基桃竹,2016,6,6182,741051,8.34,30.73,19.94,18.75,19.62,19.77,20.55,20.67,20.4,20.82,20.06,19.43
北北基桃竹,2016,7,1903,739416,2.57,17.0,23.86,18.96,18.31,19.1,19.31,20.04,20.21,20.03,20.44,19.78
北北基桃竹,2016,8,5016,741051,6.77,20.56,18.78,22.76,19.36,18.76,19.34,19.49,20.11,20.25,20.08,20.45
北北基桃竹,2016,9,4626,741444,6.24,18.85,19.7,18.8,21.78,19.26,18.78,19.27,19.41,19.97,20.11,19.97
北北基桃竹,2016,10,4547,740421,6.14,24.21,21.53,21.21,20.16,22.27,20.08,19.55,19.89,19.94,20.39,20.48
北北基桃竹,2016,11,4263,740046,5.76,18.53,21.37,20.53,20.54,19.83,21.65,19.86,19.42,19.74,19.8,20.22
北北基桃竹,2016,12,4305,741051,5.81,23.54,21.04,22.09,21.28,21.14,20.45,21.92,20.32,19.88,20.12,20.14
北北基桃竹,2016,13,3920,740421,5.29,32.54,28.04,24.87,24.7,23.53,23.04,22.18,23.24,21.68,21.15,21.25
北北基桃竹,2016,14,4750,740421,6.42,38.38,35.46,31.49,28.25,27.44,26.01,25.23,24.2,24.93,23.35,22.71
北北基桃竹,2016,15,3768,740421,5.09,22.04,30.21,30.99,29.12,27.01,26.54,25.44,24.83,23.96,24.64,23.23
北北基桃竹,2016,16,4072,740342,5.5,21.14,21.59,27.19,28.52,27.53,26.03,25.77,24.9,24.42,23.68,24.32
北北基桃竹,2016,17,4066,740688,5.49,25.62,23.38,22.93,26.8,27.94,27.21,25.97,25.75,24.98,24.54,23.86
北北基桃竹,2016,18,4084,740421,5.52,33.94,29.78,26.9,25.68,28.22,28.94,28.17,26.97,26.66,25.88,25.4
北北基桃竹,2016,19,3687,739416,4.99,19.32,26.63,26.29,25.0,24.41,26.74,27.57,27.06,26.12,25.93,25.28
北北基桃竹,2016,20,3791,741051,5.12,15.37,17.34,22.88,23.56,23.08,22.9,25.12,26.04,25.77,25.04,24.97
北北基桃竹,2016,21,3804,740046,5.14,20.51,17.94,18.4,22.28,22.95,22.65,22.56,24.54,25.43,25.24,24.63
北北基桃竹,2016,22,3743,740421,5.06,13.91,17.21,16.6,17.28,20.61,21.44,21.4,21.48,23.36,24.28,24.21
北北基桃竹,2016,23,3420,739416,4.63,14.18,14.04,16.2,15.99,16.66,19.54,20.41,20.5,20.67,22.44,23.36
北北基桃竹,2016,24,3141,739416,4.25,8.5,11.34,12.2,14.28,14.49,15.3,17.96,18.92,19.17,19.45,21.17
北北基桃竹,2016,25,3613,740421,4.88,12.24,10.37,11.64,12.21,13.87,14.12,14.86,17.25,18.18,18.47,18.8
北北基桃竹,2016,26,3484,739712,4.71,13.51,12.88,11.42,12.11,12.47,13.81,14.03,14.69,16.83,17.71,18.02
北北基桃竹,2016,27,3317,740421,4.48,9.96,11.74,11.9,11.05,11.68,12.05,13.26,13.52,14.17,16.14,17.01
北北基桃竹,2016,28,2975,739416,4.02,9.77,9.86,11.08,11.37,10.8,11.36,11.72,12.82,13.11,13.73,15.56
北北基桃竹,2016,29,3597,741051,4.85,13.79,11.78,11.17,11.76,11.85,11.3,11.71,11.98,12.93,13.17,13.73
