region,year,week,case_c,pop_total,case_per_capita(‰),PM25_lag0,PM25_lag1,PM25_lag2,PM25_lag3,PM25_lag4,PM25_lag5,PM25_lag6,PM25_lag7,PM25_lag8,PM25_lag9,PM25_lag10
北北基桃竹,2016,1,332,623545,0.53,25.45,23.59,22.23,22.81,20.98,19.78,18.48,18.85,19.71,19.62,19.98
北北基桃竹,2016,2,741,649110,1.14,20.88,23.16,22.69,21.9,22.42,20.96,19.94,18.78,19.08,19.83,19.74
北北基桃竹,2016,3,821,658154,1.25,22.89,21.88,23.07,22.74,22.09,22.5,21.24,20.31,19.24,19.46,20.11
北北基桃竹,2016,4,967,661376,1.46,16.98,19.94,20.25,21.55,21.59,21.24,21.71,20.7,19.94,19.01,19.23
北北基桃竹,2016,5,1273,669257,1.9,9.76,13.37,16.54,17.63,19.19,19.62,19.6,20.22,19.49,18.92,18.17
北北基桃竹,2016,6,1842,669519,2.75,31.61,20.68,19.45,20.31,20.42,21.26,21.33,21.1,21.48,20.7,20.07
北北基桃竹,2016,7,1596,669109,2.39,17.49,24.55,19.62,18.96,19.75,19.93,20.72,20.85,20.7,21.08,20.41
北北基桃竹,2016,8,2485,675661,3.68,21.27,19.38,23.46,20.03,19.42,20.0,20.13,20.79,20.9,20.76,21.1
北北基桃竹,2016,9,2351,678340,3.47,19.79,20.53,19.52,22.54,19.98,19.48,19.97,20.08,20.68,20.78,20.67
北北基桃竹,2016,10,2308,676050,3.41,25.37,22.58,22.14,20.98,23.11,20.88,20.32,20.64,20.67,21.15,21.2
北北基桃竹,2016,11,2060,673206,3.06,19.17,22.27,21.44,21.4,20.62,22.45,20.64,20.18,20.48,20.52,20.97
北北基桃竹,2016,12,1786,677846,2.63,24.2,21.68,22.91,22.13,21.96,21.22,22.7,21.08,20.63,20.85,20.86
北北基桃竹,2016,13,1542,675682,2.28,33.19,28.7,25.52,25.48,24.34,23.83,22.93,24.01,22.43,21.88,21.97
北北基桃竹,2016,14,1498,671421,2.23,38.8,35.99,32.06,28.84,28.15,26.75,25.97,24.91,25.65,24.06,23.42
北北基桃竹,2016,15,1112,660418,1.68,22.83,30.82,31.61,29.76,27.64,27.26,26.19,25.58,24.68,25.37,23.95
北北基桃竹,2016,16,962,663420,1.45,21.63,22.23,27.75,29.11,28.13,26.64,26.46,25.62,25.14,24.37,25.03
北北基桃竹,2016,17,847,663086,1.28,25.96,23.8,23.47,27.3,28.48,27.77,26.54,26.39,25.66,25.22,24.52
北北基桃竹,2016,18,757,659616,1.15,34.15,30.06,27.25,26.14,28.67,29.43,28.68,27.49,27.26,26.51,26.03
北北基桃竹,2016,19,541,650999,0.83,19.41,26.78,26.51,25.29,24.8,27.13,28.0,27.52,26.59,26.47,25.86
