ID,year,week,case_c,pop_total,case_per_capita(‰),NO2,NOx,NO,O3,PM10,PM25,SO2
101,2016,1,6,37520,0.16,28.0,52.0,25.0,14.0,44.0,23.0,3.0
101,2016,2,35,37520,0.933,24.0,37.0,13.0,22.0,37.0,20.0,3.0
101,2016,3,35,37520,0.933,26.0,41.0,15.0,19.0,41.0,22.0,2.0
101,2016,4,45,37520,1.199,23.0,47.0,24.0,22.0,35.0,17.0,3.0
101,2016,5,45,37520,1.199,24.0,40.0,17.0,21.0,21.0,9.0,2.0
101,2016,6,42,37520,1.119,24.0,36.0,12.0,31.0,56.0,31.0,3.0
101,2016,7,42,37520,1.119,23.0,39.0,15.0,20.0,32.0,17.0,2.0
101,2016,8,55,37520,1.466,24.0,36.0,12.0,28.0,58.0,21.0,2.0
101,2016,9,62,37520,1.652,25.0,38.0,12.0,29.0,41.0,16.0,2.0
101,2016,10,50,37520,1.333,28.0,47.0,19.0,19.0,40.0,21.0,3.0
101,2016,11,57,37520,1.519,30.0,55.0,25.0,22.0,37.0,18.0,2.0
101,2016,12,45,37520,1.199,29.0,61.0,32.0,27.0,49.0,25.0,2.0
101,2016,13,42,37520,1.119,34.0,49.0,15.0,30.0,61.0,32.0,3.0
101,2016,14,47,37520,1.253,30.0,43.0,14.0,27.0,65.0,38.0,4.0
101,2016,15,42,37520,1.119,27.0,40.0,12.0,22.0,40.0,21.0,4.0
101,2016,16,39,37520,1.039,29.0,46.0,18.0,29.0,45.0,22.0,3.0
101,2016,17,50,37520,1.333,24.0,36.0,11.0,25.0,48.0,25.0,4.0
101,2016,18,34,37520,0.906,27.0,37.0,10.0,38.0,68.0,35.0,4.0
101,2016,19,30,37520,0.8,23.0,35.0,11.0,27.0,40.0,19.0,4.0
101,2016,20,40,37520,1.066,19.0,27.0,8.0,32.0,32.0,13.0,2.0
101,2016,21,46,37520,1.226,22.0,33.0,10.0,22.0,37.0,21.0,5.0
101,2016,22,33,37520,0.88,21.0,32.0,12.0,20.0,34.0,15.0,3.0
101,2016,23,42,37520,1.119,21.0,33.0,12.0,22.0,32.0,14.0,3.0
101,2016,24,27,37520,0.72,20.0,39.0,20.0,13.0,26.0,9.0,3.0
101,2016,25,34,37520,0.906,22.0,33.0,12.0,23.0,30.0,14.0,4.0
101,2016,26,33,37520,0.88,22.0,33.0,11.0,25.0,32.0,15.0,3.0
101,2016,27,33,37520,0.88,16.0,26.0,11.0,16.0,26.0,10.0,2.0
101,2016,28,34,37520,0.906,18.0,28.0,10.0,20.0,27.0,11.0,2.0
101,2016,29,31,37520,0.826,21.0,34.0,13.0,21.0,35.0,15.0,2.0
101,2016,30,29,37520,0.773,20.0,29.0,8.0,33.0,40.0,22.0,4.0
101,2016,31,35,37520,0.933,16.0,25.0,8.0,24.0,30.0,14.0,3.0
101,2016,32,28,37520,0.746,16.0,26.0,10.0,19.0,25.0,12.0,3.0
101,2016,33,27,37520,0.72,16.0,25.0,9.0,21.0,20.0,8.0,2.0
101,2016,34,36,37520,0.959,17.0,26.0,9.0,26.0,33.0,15.0,3.0
101,2016,35,35,37520,0.933,22.0,29.0,8.0,42.0,43.0,23.0,3.0
101,2016,36,29,37520,0.773,20.0,31.0,11.0,21.0,28.0,14.0,3.0
101,2016,37,23,37520,0.613,16.0,28.0,12.0,17.0,23.0,9.0,2.0
101,2016,38,23,37520,0.613,16.0,26.0,10.0,24.0,32.0,11.0,2.0
101,2016,39,32,37520,0.853,13.0,21.0,8.0,26.0,32.0,15.0,2.0
101,2016,40,24,37520,0.64,14.0,26.0,12.0,16.0,26.0,11.0,2.0
101,2016,41,41,37520,1.093,19.0,32.0,13.0,23.0,19.0,7.0,2.0
101,2016,42,43,37520,1.146,11.0,22.0,11.0,15.0,22.0,8.0,2.0
101,2016,43,26,37520,0.693,23.0,34.0,11.0,29.0,41.0,21.0,4.0
101,2016,44,26,37520,0.693,18.0,26.0,8.0,30.0,35.0,14.0,3.0
101,2016,45,33,37520,0.88,22.0,35.0,13.0,22.0,30.0,13.0,3.0
101,2016,46,36,37520,0.959,25.0,36.0,11.0,27.0,43.0,19.0,4.0
101,2016,47,38,37520,1.013,23.0,39.0,15.0,18.0,24.0,10.0,3.0
101,2016,48,29,37520,0.773,19.0,29.0,9.0,26.0,36.0,14.0,2.0
101,2016,49,38,37520,1.013,20.0,29.0,8.0,27.0,39.0,16.0,3.0
101,2016,50,36,37520,0.959,21.0,31.0,10.0,28.0,39.0,17.0,2.0
101,2016,51,31,37520,0.826,22.0,35.0,13.0,23.0,32.0,14.0,2.0
101,2016,52,33,37520,0.88,20.0,30.0,9.0,28.0,39.0,16.0,2.0
101,2017,1,41,39166,1.047,25.0,38.0,13.0,22.0,38.0,19.0,3.0
101,2017,2,49,39166,1.251,21.0,30.0,10.0,27.0,39.0,21.0,3.0
101,2017,3,39,39166,0.996,22.0,34.0,12.0,24.0,30.0,12.0,2.0
101,2017,4,43,39166,1.098,19.0,27.0,8.0,33.0,35.0,15.0,2.0
101,2017,5,47,39166,1.2,20.0,31.0,11.0,25.0,33.0,17.0,2.0
101,2017,6,39,39166,0.996,18.0,26.0,8.0,34.0,48.0,24.0,3.0
101,2017,7,48,39166,1.226,26.0,38.0,12.0,30.0,38.0,19.0,3.0
101,2017,8,43,39166,1.098,25.0,41.0,15.0,24.0,32.0,16.0,2.0
101,2017,9,41,39166,1.047,27.0,40.0,13.0,30.0,49.0,24.0,3.0
101,2017,10,36,39166,0.919,30.0,42.0,13.0,33.0,43.0,23.0,3.0
101,2017,11,40,39166,1.021,25.0,35.0,11.0,30.0,33.0,16.0,2.0
101,2017,12,50,39166,1.277,24.0,35.0,11.0,32.0,28.0,15.0,3.0
101,2017,13,42,39166,1.072,28.0,38.0,10.0,39.0,66.0,32.0,3.0
101,2017,14,39,39166,0.996,28.0,39.0,11.0,36.0,50.0,28.0,3.0
101,2017,15,49,39166,1.251,28.0,41.0,13.0,27.0,46.0,24.0,4.0
101,2017,16,43,39166,1.098,25.0,38.0,14.0,21.0,41.0,23.0,3.0
101,2017,17,38,39166,0.97,28.0,39.0,11.0,35.0,41.0,19.0,3.0
101,2017,18,39,39166,0.996,23.0,33.0,10.0,30.0,41.0,23.0,4.0
101,2017,19,48,39166,1.226,23.0,33.0,10.0,28.0,47.0,20.0,4.0
101,2017,20,45,39166,1.149,19.0,26.0,7.0,37.0,27.0,14.0,3.0
101,2017,21,43,39166,1.098,20.0,28.0,8.0,31.0,28.0,13.0,3.0
101,2017,22,41,39166,1.047,19.0,29.0,10.0,26.0,22.0,11.0,2.0
101,2017,23,41,39166,1.047,22.0,32.0,10.0,25.0,38.0,20.0,4.0
101,2017,24,49,39166,1.251,23.0,39.0,16.0,19.0,21.0,9.0,3.0
101,2017,25,36,39166,0.919,22.0,41.0,19.0,17.0,26.0,12.0,3.0
101,2017,26,43,39166,1.098,21.0,31.0,10.0,23.0,30.0,16.0,4.0
101,2017,27,38,39166,0.97,19.0,33.0,13.0,17.0,24.0,10.0,3.0
101,2017,28,43,39166,1.098,21.0,34.0,13.0,19.0,30.0,15.0,4.0
101,2017,29,30,39166,0.766,16.0,26.0,10.0,18.0,28.0,12.0,3.0
101,2017,30,36,39166,0.919,17.0,26.0,9.0,25.0,30.0,16.0,4.0
101,2017,31,31,39166,0.792,22.0,33.0,12.0,22.0,32.0,15.0,3.0
101,2017,32,38,39166,0.97,18.0,30.0,12.0,22.0,35.0,16.0,3.0
101,2017,33,33,39166,0.843,20.0,29.0,10.0,26.0,36.0,20.0,5.0
101,2017,34,45,39166,1.149,14.0,24.0,10.0,19.0,23.0,11.0,3.0
101,2017,35,31,39166,0.792,15.0,23.0,8.0,23.0,23.0,11.0,3.0
