region,year,week,case_c,pop_total,case_per_capita(‰),PM25_lag0,PM25_lag1,PM25_lag2,PM25_lag3,PM25_lag4,PM25_lag5,PM25_lag6,PM25_lag7,PM25_lag8,PM25_lag9,PM25_lag10
北北基桃竹,2016,1,392,720283,0.54,24.44,45.81,64.37,88.54,101.7,114.83,124.9,145.58,171.13,189.27,212.5
北北基桃竹,2016,2,773,720283,1.07,20.39,44.83,66.2,84.76,108.93,122.09,135.22,145.29,165.97,191.52,209.66
北北基桃竹,2016,3,703,720283,0.98,22.23,42.62,67.06,88.43,106.99,131.16,144.32,157.45,167.52,188.2,213.75
北北基桃竹,2016,4,774,720283,1.07,16.37,38.6,58.99,83.43,104.8,123.36,147.53,160.69,173.82,183.89,204.57
北北基桃竹,2016,5,884,728301,1.21,9.15,25.52,47.75,68.14,92.58,113.95,132.51,156.68,169.84,182.97,193.04
北北基桃竹,2016,6,1114,727442,1.53,30.73,39.88,56.25,78.48,98.87,123.31,144.68,163.24,187.41,200.57,213.7
北北基桃竹,2016,7,783,723133,1.08,17.0,47.73,56.88,73.25,95.48,115.87,140.31,161.68,180.24,204.41,217.57
北北基桃竹,2016,8,1232,729174,1.69,20.56,37.56,68.29,77.44,93.81,116.04,136.43,160.87,182.24,200.8,224.97
北北基桃竹,2016,9,1189,728914,1.63,18.85,39.41,56.41,87.14,96.29,112.66,134.89,155.28,179.72,201.09,219.65
北北基桃竹,2016,10,1167,729001,1.6,24.21,43.06,63.62,80.62,111.35,120.5,136.87,159.1,179.49,203.93,225.3
北北基桃竹,2016,11,1086,729896,1.49,18.53,42.74,61.59,82.15,99.15,129.88,139.03,155.4,177.63,198.02,222.46
北北基桃竹,2016,12,1054,727508,1.45,23.54,42.07,66.28,85.13,105.69,122.69,153.42,162.57,178.94,201.17,221.56
北北基桃竹,2016,13,971,725518,1.34,32.54,56.08,74.61,98.82,117.67,138.23,155.23,185.96,195.11,211.48,233.71
北北基桃竹,2016,14,971,727303,1.34,38.38,70.92,94.46,112.99,137.2,156.05,176.61,193.61,224.34,233.49,249.86
北北基桃竹,2016,15,901,727276,1.24,22.04,60.42,92.96,116.5,135.03,159.24,178.09,198.65,215.65,246.38,255.53
北北基桃竹,2016,16,902,728308,1.24,21.14,43.18,81.56,114.1,137.64,156.17,180.38,199.23,219.79,236.79,267.52
北北基桃竹,2016,17,862,727930,1.18,25.62,46.76,68.8,107.18,139.72,163.26,181.79,206.0,224.85,245.41,262.41
北北基桃竹,2016,18,810,726677,1.11,33.94,59.56,80.7,102.74,141.12,173.66,197.2,215.73,239.94,258.79,279.35
北北基桃竹,2016,19,820,723673,1.13,19.32,53.26,78.88,100.02,122.06,160.44,192.98,216.52,235.05,259.26,278.11
北北基桃竹,2016,20,786,728462,1.08,15.37,34.69,68.63,94.25,115.39,137.43,175.81,208.35,231.89,250.42,274.63
北北基桃竹,2016,21,781,724131,1.08,20.51,35.88,55.2,89.14,114.76,135.9,157.94,196.32,228.86,252.4,270.93
北北基桃竹,2016,22,724,724131,1.0,13.91,34.42,49.79,69.11,103.05,128.67,149.81,171.85,210.23,242.77,266.31
北北基桃竹,2016,23,772,725857,1.06,14.18,28.09,48.6,63.97,83.29,117.23,142.85,163.99,186.03,224.41,256.95
北北基桃竹,2016,24,678,722068,0.94,8.5,22.68,36.59,57.1,72.47,91.79,125.73,151.35,172.49,194.53,232.91
北北基桃竹,2016,25,721,724761,0.99,12.24,20.74,34.92,48.83,69.34,84.71,104.03,137.97,163.59,184.73,206.77
北北基桃竹,2016,26,679,725920,0.94,13.51,25.75,34.25,48.43,62.34,82.85,98.22,117.54,151.48,177.1,198.24
北北基桃竹,2016,27,629,722825,0.87,9.96,23.47,35.71,44.21,58.39,72.3,92.81,108.18,127.5,161.44,187.06
北北基桃竹,2016,28,596,722072,0.83,9.77,19.73,33.24,45.48,53.98,68.16,82.07,102.58,117.95,137.27,171.21
北北基桃竹,2016,29,624,722837,0.86,13.79,23.56,33.52,47.03,59.27,67.77,81.95,95.86,116.37,131.74,151.06
北北基桃竹,2016,30,614,722072,0.85,20.16,33.95,43.72,53.68,67.19,79.43,87.93,102.11,116.02,136.53,151.9
北北基桃竹,2016,31,644,722068,0.89,13.98,34.14,47.93,57.7,67.66,81.17,93.41,101.91,116.09,130.0,150.51
北北基桃竹,2016,32,624,720283,0.87,11.04,25.02,45.18,58.97,68.74,78.7,92.21,104.45,112.95,127.13,141.04
北北基桃竹,2016,33,585,720283,0.81,9.93,20.97,34.95,55.11,68.9,78.67,88.63,102.14,114.38,122.88,137.06
北北基桃竹,2016,34,590,720283,0.82,16.13,26.06,37.1,51.08,71.24,85.03,94.8,104.76,118.27,130.51,139.01
北北基桃竹,2016,35,594,723133,0.82,23.17,39.3,49.23,60.27,74.25,94.41,108.2,117.97,127.93,141.44,153.68
北北基桃竹,2016,36,629,720283,0.87,13.24,36.41,52.54,62.47,73.51,87.49,107.65,121.44,131.21,141.17,154.68
北北基桃竹,2016,37,624,720283,0.87,9.94,23.18,46.35,62.48,72.41,83.45,97.43,117.59,131.38,141.15,151.11
北北基桃竹,2016,38,550,720283,0.76,12.07,22.01,35.25,58.42,74.55,84.48,95.52,109.5,129.66,143.45,153.22
北北基桃竹,2016,39,659,722825,0.91,13.49,25.56,35.5,48.74,71.91,88.04,97.97,109.01,122.99,143.15,156.94
北北基桃竹,2016,40,558,722825,0.77,12.58,26.07,38.14,48.08,61.32,84.49,100.62,110.55,121.59,135.57,155.73
北北基桃竹,2016,41,637,720283,0.88,8.1,20.68,34.17,46.24,56.18,69.42,92.59,108.72,118.65,129.69,143.67
北北基桃竹,2016,42,585,722624,0.81,11.05,19.15,31.73,45.22,57.29,67.23,80.47,103.64,119.77,129.7,140.74
北北基桃竹,2016,43,630,723407,0.87,21.68,32.73,40.83,53.41,66.9,78.97,88.91,102.15,125.32,141.45,151.38
北北基桃竹,2016,44,647,720283,0.9,13.67,35.35,46.4,54.5,67.08,80.57,92.64,102.58,115.82,138.99,155.12
北北基桃竹,2016,45,679,727679,0.93,15.89,29.56,51.24,62.29,70.39,82.97,96.46,108.53,118.47,131.71,154.88
北北基桃竹,2016,46,712,724888,0.98,21.34,37.23,50.9,72.58,83.63,91.73,104.31,117.8,129.87,139.81,153.05
北北基桃竹,2016,47,728,723830,1.01,12.23,33.57,49.46,63.13,84.81,95.86,103.96,116.54,130.03,142.1,152.04
北北基桃竹,2016,48,684,722399,0.95,13.71,25.94,47.28,63.17,76.84,98.52,109.57,117.67,130.25,143.74,155.81
北北基桃竹,2016,49,700,721563,0.97,16.74,30.45,42.68,64.02,79.91,93.58,115.26,126.31,134.41,146.99,160.48
北北基桃竹,2016,50,729,726399,1.0,16.75,33.49,47.2,59.43,80.77,96.66,110.33,132.01,143.06,151.16,163.74
北北基桃竹,2016,51,729,725140,1.01,17.88,34.63,51.37,65.08,77.31,98.65,114.54,128.21,149.89,160.94,169.04
北北基桃竹,2016,52,735,725597,1.01,17.66,35.54,52.29,69.03,82.74,94.97,116.31,132.2,145.87,167.55,178.6
